"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
913,"secukinumab","secukinumab","Skin hypertrophy",4896.23,4896.23,4,8,"2016Q2","2018Q2",,,"Interleukin inhibitors","","",""
914,"eskata","hydrogen peroxide","Subcutaneous emphysema",4896.73,4896.04,3,4,"2018Q2","2019Q1","2017-12-14",8.4,"Antiinfectives and antiseptics for local oral treatment","","",""
915,"cotempla xr-odt","methylphenidate","Impulsive behaviour",4895.77,4895.77,4,4,"2018Q1","2018Q4","2006-04-06",20,"Centrally acting sympathomimetics","","",""
916,"flolan","epoprostenol","Device related infection",4894.8,4894.8,4,15,"2012Q1","2021Q4",,,"Platelet aggregation inhibitors excl. heparin","","",""
917,"human immunoglobulin","immunoglobulins, unspecified","Activated partial thromboplastin time prolonged",4891.65,4891.65,4,4,"2021Q2","2022Q1",,,"","","",""
918,"levulan kerastick","aminolevulinic acid","Burns first degree",4885.85,4885.85,3,4,"2018Q2","2019Q1",,,"Sensitizers used in photodynamic/radiation therapy","","",""
919,"tobradex","dexamethasone;tobramycin","Aqueous fibrin",4884.42,4884.42,4,3,"2022Q1","2022Q3",,,"","","",""
920,"device","device, unspecified","Corneal defect",4878.42,4878.42,4,2,"2022Q2","2022Q3",,,"","","",""
921,"moviprep","macrogol;potassium;sodium chloride;sodium sulfate;vitamin c","Ileus",4877.07,4877.07,4,10,"2016Q3","2020Q1",,,"","","",""
922,"human c1-esterase inhibitor","c1-inhibitor","Hereditary angioedema",4869.68,4869.68,4,25,"2015Q2","2022Q3",,,"Drugs used in hereditary angioedema","","",""
923,"depo-medrol","methylprednisolone","Arachnoiditis",4869.19,4869.19,3,2,"2012Q4","2013Q1","1982-01-01",44.3,"Corticosteroids, weak (group I)","","",""
924,"arimidex","anastrozole","Haemodialysis",4867.44,4867.44,4,4,"2021Q3","2022Q2","1995-12-27",30.3,"Aromatase inhibitors","","",""
925,"somatropin","somatropin","Adenoidal hypertrophy",4866.89,4866.89,3,8,"2011Q4","2016Q1",,,"Somatropin and somatropin agonists","","",""
926,"efavirenz","efavirenz","Hyperphosphaturia",4865.76,4865.76,3,4,"2017Q3","2018Q2","1998-09-17",27.6,"Non-nucleoside reverse transcriptase inhibitors","","",""
927,"efavirenz","efavirenz","Perforated ulcer",4865.76,4865.76,4,4,"2017Q3","2018Q2","1998-09-17",27.6,"Non-nucleoside reverse transcriptase inhibitors","","",""
928,"mayzent","siponimod","Secondary progressive multiple sclerosis",4865.92,4863.45,4,11,"2017Q2","2022Q3","2019-03-26",7.1,"S1P receptor modulators","","",""
929,"bss plus","sodium chloride","Corneal oedema",4856.84,4856.84,4,14,"2018Q2","2024Q4","1982-01-01",44.3,"Sodium","","",""
930,"caspofungin","caspofungin","Pneumonia pneumococcal",4853.96,4853.96,4,2,"2019Q1","2019Q4",,,"Other antimycotics for systemic use","","",""
931,"vigamox","moxifloxacin","Toxic anterior segment syndrome",4852.49,4852.49,4,4,"2021Q2","2022Q1",,,"Fluoroquinolones","","",""
932,"cabtreo",,"Application site dryness",4851.46,4851.46,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
933,"depo-medrol","methylprednisolone","Injection site joint pain",4851.46,4851.46,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Corticosteroids, weak (group I)","","",""
934,"depo-medrol","methylprednisolone","Injection site joint swelling",4851.46,4851.46,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Corticosteroids, weak (group I)","","",""
935,"omeprazole delayed release tablets wildberry mint",,"Wrong product administered",4849.25,4849.25,4,5,"2018Q1","2019Q1",,,"Other antineoplastic agents (cont.)","","",""
936,"bss","calcium;magnesium;potassium;sodium acetate;sodium chloride;sodium citrate","Cystoid macular oedema",4844.96,4844.96,4,3,"2018Q3","2019Q1",,,"","","",""
937,"bupivacaine","bupivacaine","Maternal exposure during delivery",4842.9,4842.9,4,6,"2016Q2","2020Q2","2011-10-28",14.5,"Amides","","",""
938,"rocuronium","rocuronium","Recurrence of neuromuscular blockade",4842.31,4842.31,4,3,"2022Q1","2022Q3",,,"Other quaternary ammonium compounds","","",""
939,"zolmitriptan","zolmitriptan","Thunderclap headache",4841.9,4841.9,4,2,"2022Q2","2022Q3","1997-11-25",28.4,"Selective serotonin (5HT1) agonists","","",""
940,"daunorubicin","daunorubicin","Human herpesvirus 6 infection",4841.49,4841.49,3,2,"2019Q1","2019Q4",,,"Anthracyclines and related substances","","",""
941,"daunorubicin","daunorubicin","Stomatococcal infection",4841.49,4841.49,3,2,"2019Q1","2019Q4",,,"Anthracyclines and related substances","","",""
942,"lidocaine","lidocaine","Mycobacterium chelonae infection",4840.95,4840.95,4,4,"2017Q3","2018Q2","1982-01-01",44.3,"Antiarrhythmics, class Ib","","",""
943,"durysta","bimatoprost","Iritis",4838.81,4838.81,4,8,"2021Q1","2024Q4","2001-03-16",25.1,"Prostaglandin analogues","","",""
944,"chlorthalidone","chlortalidone","Blood chloride decreased",4838.27,4838.27,3,1,"2019Q4","2019Q4","1982-01-01",44.3,"Sulfonamides, plain","","",""
945,"tetracaine hydrochloride","tetracaine","Toxic anterior segment syndrome",4837.24,4837.13,4,3,"2022Q1","2022Q3","2016-02-29",10.1,"Local anesthetics","","",""
946,"jublia","efinaconazole","Nail discolouration",4836.26,4836.24,4,4,"2017Q3","2018Q3","2014-06-06",11.9,"Imidazole and triazole derivatives","","",""
947,"icy hot medicated no mess applicator","menthol","Application site burn",4832.76,4832.76,4,9,"2018Q4","2022Q1",,,"","","",""
948,"onglyza","saxagliptin","Acute left ventricular failure",4824.81,4824.81,4,15,"2015Q2","2018Q4",,,"Dipeptidyl peptidase 4 (DPP-4) inhibitors","","",""
949,"spf 50 plus sunscreen",,"Seizure like phenomena",4823.45,4823.45,4,3,"2020Q2","2020Q4",,,"Other antineoplastic agents (cont.)","","",""
950,"dianeal pd 2 with dextrose",,"Azotaemia",4821.27,4821.27,4,4,"2021Q2","2022Q1",,,"Other antineoplastic agents (cont.)","","",""
951,"diprivan","propofol","Systemic candida",4819.58,4819.58,4,4,"2020Q2","2021Q1","1989-10-02",36.6,"Other general anesthetics","","",""
952,"buprenorphine","buprenorphine","Behaviour disorder",4819.07,4819.07,4,4,"2015Q1","2015Q4","2010-06-30",15.8,"Oripavine derivatives","","",""
953,"altuzan","bevacizumab","Angiogram retina abnormal",4819.06,4819.06,3,4,"2020Q3","2021Q2",,,"VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors","","",""
954,"foscavir","foscarnet","Leukaemia recurrent",4815.17,4815.17,3,4,"2015Q4","2016Q3",,,"Phosphonic acid derivatives","","",""
955,"epinephrine injection usp","epinephrine","Toxic anterior segment syndrome",4812.64,4812.64,4,4,"2020Q4","2021Q3","1982-01-01",44.3,"Other agents for local oral treatment","","",""
956,"topiramate","topiramate","Hyperammonaemia",4808.51,4808.51,4,4,"2015Q1","2015Q4","1996-12-24",29.3,"Other antiepileptics","","",""
957,"oriahnn","elagolix;estradiol;norethisterone","Myomectomy",4805.89,4805.89,3,4,"2021Q4","2022Q3",,,"","","",""
958,"evithrom","thrombin","Procedural complication",4797.78,4797.78,3,1,"2021Q1","2021Q1",,,"Local hemostatics","","",""
959,"diclobene - ampullen",,"Type I hypersensitivity",4795.87,4795.87,3,2,"2019Q1","2019Q4",,,"Other antineoplastic agents (cont.)","","",""
960,"levulan kerastick","aminolevulinic acid","Feeling of body temperature change",4791.5,4791.5,4,4,"2020Q2","2021Q1",,,"Sensitizers used in photodynamic/radiation therapy","","",""
961,"endari","levoglutamide","Sickle cell anaemia with crisis",4789.2,4789.2,4,18,"2018Q1","2024Q4",,,"","","",""
962,"ritonavir","ritonavir","Premature rupture of membranes",4788.04,4788.04,4,4,"2020Q2","2021Q1","1996-03-01",30.1,"Protease inhibitors","","",""
963,"samsca","tolvaptan","Drug monitoring procedure incorrectly performed",4787.26,4787.26,4,4,"2021Q2","2024Q4","2009-05-19",16.9,"Vasopressin antagonists","","",""
964,"caprelsa","vandetanib","Blood calcitonin increased",4782.26,4782.26,3,2,"2017Q1","2017Q2","2011-04-06",15,"Other protein kinase inhibitors","","",""
965,"ethinylestradiol levonorgestrel","ethinylestradiol;levonorgestrel","Cerebral venous thrombosis",4766.97,4766.97,4,4,"2016Q1","2016Q4",,,"","","",""
966,"ioflupane i-123",,"Radioisotope scan abnormal",4757.05,4757.05,4,1,"2024Q4","2024Q4","2011-01-14",15.3,"Other antineoplastic agents (cont.)","","",""
967,"ofloxacin","ofloxacin","Acute febrile neutrophilic dermatosis",4756.18,4756.18,4,3,"2021Q3","2022Q1","1990-12-28",35.3,"Fluoroquinolones","","",""
968,"inveltys","loteprednol","Iritis",4746.46,4746.46,4,2,"2019Q1","2019Q4",,,"Corticosteroids, plain","","",""
969,"mitoxantrone","mitoxantrone","Febrile bone marrow aplasia",4740.27,4740.27,3,3,"2016Q1","2016Q3",,,"Anthracyclines and related substances","","",""
970,"kogenate","factor viii","Haemarthrosis",4739.94,4739.94,4,21,"2017Q1","2022Q3",,,"Blood coagulation factors","","",""
971,"trexan","naltrexone","Candida sepsis",4734.94,4734.94,4,4,"2020Q3","2021Q2","2006-04-13",20,"Drugs used in alcohol dependence","","",""
972,"hepsera","adefovir","Viral load increased",4731.99,4731.99,3,1,"2019Q4","2019Q4",,,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
973,"chantix","varenicline","Abnormal dreams",4726.08,4726.08,4,25,"2014Q1","2022Q2",,,"Drugs used in nicotine dependence","","",""
974,"op2455 - omeprazol f rmula magistral",,"Hypertrichosis",4725.12,4725.12,4,2,"2019Q4","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
975,"taytulla","ethinylestradiol;iron;norethisterone","Pregnancy on oral contraceptive",4725.07,4725.07,4,3,"2018Q2","2018Q4",,,"","","",""
976,"xiaflex","collagenase clostridium histolyticum","Dupuytren's contracture",4724.55,4724.55,4,20,"2017Q1","2022Q2",,,"Enzymes","","",""
977,"empagliflozin","empagliflozin","Urine ketone body present",4722.07,4722.05,4,10,"2016Q2","2018Q3","2014-08-01",11.7,"Sodium-glucose co-transporter 2 (SGLT2) inhibitors","","",""
978,"photrexa viscous","dextran;vitamin b2","Ulcerative keratitis",4716.56,4716.56,4,3,"2021Q1","2021Q3",,,"","","",""
979,"exparel","bupivacaine","Diaphragmatic paralysis",4715.04,4715.04,4,2,"2019Q1","2019Q4","2011-10-28",14.5,"Amides","","",""
980,"hydrocodone bitartrate","hydrocodone","Victim of homicide",4712.4,4712.39,4,3,"2018Q2","2018Q4","2013-10-25",12.5,"Opium alkaloids and derivatives","","",""
981,"zonisamide","zonisamide","Hereditary optic atrophy",4710.33,4710.33,3,4,"2013Q1","2013Q4","2000-03-27",26.1,"Other antiepileptics","","",""
982,"solostar","insulin","Drug administered in wrong device",4708.32,4708.32,3,6,"2017Q2","2018Q3",,,"","","",""
983,"iluvien","fluocinolone","Vitrectomy",4706.01,4706.01,4,15,"2017Q2","2021Q3",,,"Corticosteroids","","",""
984,"photrexa viscous","dextran;vitamin b2","Corneal thinning",4705.49,4705.49,3,1,"2018Q3","2018Q3",,,"","","",""
985,"sprix","ketorolac","Nasal discomfort",4696.76,4696.76,4,13,"2017Q2","2020Q4",,,"Acetic acid derivatives and related substances","","",""
986,"aleve back and muscle pain","naproxen","Oesophageal discomfort",4689.32,4689.32,3,1,"2020Q1","2020Q1","1982-01-01",44.3,"Antiinflammatory products for vaginal administration","","",""
987,"camptosar","irinotecan","Ectropion",4689.01,4689.01,3,4,"2019Q4","2020Q3",,,"Topoisomerase 1 (TOP1) inhibitors","","",""
988,"equmet","metformin;vildagliptin","Heat illness",4686.93,4686.93,3,3,"2019Q4","2020Q2",,,"","","",""
989,"maxitrol","dexamethasone;neomycin;polymyxin b","Acute sinusitis",4683.47,4683.47,4,2,"2019Q4","2020Q1",,,"","","",""
990,"paroex","chlorhexidine","Endotracheal intubation",4682.27,4682.27,4,5,"2020Q3","2021Q3",,,"Antiinfectives and antiseptics for local oral treatment","","",""
991,"dexamethasone tobramycin","dexamethasone;tobramycin","Corneal exfoliation",4681.77,4681.77,3,1,"2024Q4","2024Q4",,,"","","",""
992,"brimonidine tartrate","brimonidine","Instillation site swelling",4676.06,4676.06,4,3,"2022Q1","2022Q3","1996-09-06",29.6,"Other dermatologicals","","",""
993,"nutropin","somatropin","Insulin-like growth factor decreased",4675.9,4675.9,4,4,"2014Q1","2016Q1",,,"Somatropin and somatropin agonists","","",""
994,"estre","levonorgestrel","Meningioma",4675.56,4675.56,3,2,"2018Q4","2019Q1","1990-12-10",35.4,"Progestogens","","",""
995,"lixiana tablets","edoxaban","Vascular pseudoaneurysm",4675.41,4675.41,3,1,"2018Q2","2018Q2",,,"Direct factor Xa inhibitors","","",""
996,"atracurium besylate","atracurium","Anticholinergic syndrome",4674.73,4674.73,4,2,"2021Q2","2021Q3","1983-11-23",42.4,"Other quaternary ammonium compounds","","",""
997,"piroxicam","piroxicam","Oedema mouth",4665.91,4665.91,4,2,"2018Q4","2019Q1","1982-04-06",44,"Oxicams","","",""
998,"chlorhexidine gluconate","chlorhexidine","Tongue discolouration",4663.34,4663.34,4,6,"2018Q2","2020Q1","1982-01-01",44.3,"Antiinfectives and antiseptics for local oral treatment","","",""
999,"enspryng","satralizumab","Neuromyelitis optica spectrum disorder",4660.44,4660.44,4,8,"2021Q1","2024Q4",,,"Interleukin inhibitors","","",""
1000,"heparin","heparin","Coagulation time prolonged",4658.06,4658.06,4,7,"2020Q3","2022Q3",,,"Heparin group","","",""
