"rank","drug","substance","event","peak_eb05","adj_eb05","n_methods_flagged","quarters","first_signal","latest_signal","first_approval","years_on_market","atc_class","triage","triage_reason","watch"
783,"alendronate","alendronic acid","Chorioretinitis",5398.4,5398.4,3,4,"2017Q1","2017Q4",,,"Bisphosphonates","","",""
784,"belimumab","belimumab","Systemic lupus erythematosus",5392.13,5392.13,4,26,"2014Q1","2024Q4",,,"Monoclonal antibodies","","",""
785,"actimmune","interferon gamma","Abscess drainage",5382.25,5382.25,4,2,"2019Q4","2020Q1",,,"Interferons","","",""
786,"buprenorphine","buprenorphine","Chemical submission",5382.12,5382.12,3,4,"2015Q1","2015Q4","2010-06-30",15.8,"Oripavine derivatives","","",""
787,"tranexamic acid","tranexamic acid","Vasodilatation",5378.39,5378.39,4,4,"2017Q3","2018Q2","1986-12-30",39.3,"Amino acids","","",""
788,"vayarin","phospholipids;unsaturated fatty acids","Defiant behaviour",5370.2,5370.2,3,2,"2018Q4","2019Q1",,,"","","",""
789,"trisenox","arsenic trioxide","Differentiation syndrome",5365.72,5365.72,3,1,"2021Q3","2021Q3","2000-09-25",25.6,"Other antineoplastics","","",""
790,"oxaliplatino sun ml concentrato per soluzione per infusione",,"Tetany",5362.09,5362.09,4,3,"2021Q2","2021Q4",,,"Other antineoplastic agents (cont.)","","",""
791,"tnkase","tenecteplase","Haemorrhagic transformation stroke",5349.01,5349.01,4,1,"2024Q4","2024Q4",,,"Enzymes","","",""
792,"g lasta","pegfilgrastim","Arteritis",5344.95,5344.95,4,2,"2020Q4","2021Q1",,,"Colony stimulating factors","","",""
793,"botox cosmetic","botulinum toxin","Eyelid ptosis",5339,5339,4,23,"2016Q1","2024Q4",,,"Other muscle relaxants, peripherally acting agents","","",""
794,"sensodyne clinical white enamel strengthening",,"Hyperaesthesia teeth",5334.25,5334.25,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
795,"sensodyne pronamel gentle whitening",,"Hyperaesthesia teeth",5334.25,5334.25,3,1,"2024Q4","2024Q4",,,"Other antineoplastic agents (cont.)","","",""
796,"novoeight","factor viii","Haemophilic arthropathy",5334.25,5334.25,3,1,"2024Q4","2024Q4",,,"Blood coagulation factors","","",""
797,"trexan","naltrexone","Oral blood blister",5330.88,5330.88,3,4,"2020Q3","2021Q2","2006-04-13",20,"Drugs used in alcohol dependence","","",""
798,"trexan","naltrexone","Oropharyngeal plaque",5330.88,5330.88,3,4,"2020Q3","2021Q2","2006-04-13",20,"Drugs used in alcohol dependence","","",""
799,"latanoprost","latanoprost","Ocular hypertension",5330.74,5330.74,3,2,"2017Q2","2017Q3","1996-06-05",29.9,"Prostaglandin analogues","","",""
800,"metformin sitagliptin",,"Haemolytic anaemia",5329.51,5329.51,3,3,"2022Q1","2022Q3",,,"Other antineoplastic agents (cont.)","","",""
801,"anti-thymocyte globulin nos","antithymocyte immunoglobulin","Haemolytic anaemia",5322.79,5322.79,3,2,"2015Q2","2016Q1",,,"Selective immunosuppressants","","",""
802,"bicalutamide","bicalutamide","Congestive cardiomyopathy",5321.32,5321.32,4,3,"2022Q1","2022Q3","1995-10-04",30.5,"Anti-androgens","","",""
803,"yuvafem","estradiol","Vulvovaginal dryness",5320.02,5320.02,4,2,"2018Q4","2019Q1","1982-01-01",44.3,"Natural and semisynthetic estrogens, plain","","",""
804,"moxifloxacin","moxifloxacin","Brugada syndrome",5319.76,5319.76,4,4,"2021Q4","2022Q3",,,"Fluoroquinolones","","",""
805,"abacavir sulfate lamivudine",,"Congenital pyelocaliectasis",5313.63,5313.63,4,6,"2017Q2","2018Q3",,,"Other antineoplastic agents (cont.)","","",""
806,"mirapex","pramipexole","Obsessive-compulsive disorder",5313.12,5313.12,4,4,"2019Q4","2020Q3",,,"Dopamine agonists","","",""
807,"trabectedin","trabectedin","Catheter site inflammation",5304.03,5303.94,4,2,"2021Q1","2021Q2","2015-10-23",10.5,"Other plant alkaloids and natural products","","",""
808,"anafranil","clomipramine","Vaginal neoplasm",5299.53,5299.53,3,4,"2018Q1","2018Q4",,,"Non-selective monoamine reuptake inhibitors","","",""
809,"viread","tenofovir","Tooth injury",5298.39,5298.39,4,73,"2004Q1","2022Q3",,,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
810,"envarsus","tacrolimus","Prophylaxis against transplant rejection",5295.94,5295.94,3,7,"2020Q2","2021Q4","1994-04-08",32,"Agents for dermatitis, excluding corticosteroids","","",""
811,"clozapine accord","clozapine","Neutrophilia",5294,5294,4,16,"2018Q1","2022Q2","1989-09-26",36.6,"Diazepines, oxazepines, thiazepines and oxepines","","",""
812,"sabril","vigabatrin","Retinogram abnormal",5292.88,5292.88,3,20,"2016Q4","2022Q2","2009-08-21",16.7,"Fatty acid derivatives","","",""
813,"octreotide","octreotide","Parotid gland enlargement",5289.55,5289.55,3,2,"2019Q1","2019Q4",,,"Somatostatin and analogues","","",""
814,"reblozyl","luspatercept","Extramedullary haemopoiesis",5283.59,5283.59,3,5,"2021Q3","2022Q3",,,"Other antianemic preparations","","",""
815,"dutasteride","dutasteride","Intention tremor",5280.23,5280.23,4,4,"2017Q3","2018Q2","2001-11-20",24.4,"Testosterone-5-alpha reductase inhibitors","","",""
816,"revolade tab","eltrombopag","Paroxysmal nocturnal haemoglobinuria",5280.23,5280.23,3,2,"2018Q4","2019Q1",,,"Other systemic hemostatics","","",""
817,"somatropin","somatropin","Glioblastoma",5278.6,5278.6,4,4,"2018Q2","2019Q1",,,"Somatropin and somatropin agonists","","",""
818,"leuplin sr","leuprorelin","Marasmus",5271.92,5271.92,4,3,"2020Q4","2021Q2",,,"Gonadotropin releasing hormone analogues","","",""
819,"atorvastatin tablets","atorvastatin","Blepharospasm",5269.72,5269.72,4,2,"2019Q1","2019Q4",,,"HMG CoA reductase inhibitors","","",""
820,"eloctate","factor viii","Factor VIII inhibition",5266.65,5266.65,4,18,"2012Q2","2021Q1",,,"Blood coagulation factors","","",""
821,"precedex","dexmedetomidine","Lymphocyte percentage increased",5265.3,5265.3,4,3,"2018Q2","2018Q4",,,"Other hypnotics and sedatives","","",""
822,"piperacillin sodium tazobactam sodium","piperacillin;tazobactam","Cerebral toxoplasmosis",5264.53,5264.53,3,2,"2018Q4","2019Q1",,,"","","",""
823,"piperacillin sodium tazobactam sodium","piperacillin;tazobactam","Gastroenteritis clostridial",5264.53,5264.53,3,2,"2018Q4","2019Q1",,,"","","",""
824,"piperacillin sodium tazobactam sodium","piperacillin;tazobactam","Septic encephalopathy",5264.53,5264.53,3,2,"2018Q4","2019Q1",,,"","","",""
825,"piperacillin sodium tazobactam sodium","piperacillin;tazobactam","Tuberculosis of central nervous system",5264.53,5264.53,3,2,"2018Q4","2019Q1",,,"","","",""
826,"ovitrelle","chorionic gonadotrophin","Ovarian haemorrhage",5257.16,5257.16,3,2,"2018Q4","2019Q1",,,"Gonadotropins","","",""
827,"xofigo","radium-223 dichloride","Hormone-refractory prostate cancer",5251.87,5251.87,4,23,"2016Q4","2024Q4",,,"Various therapeutic radiopharmaceuticals","","",""
828,"tenofovir","tenofovir","Oligohydramnios",5251.4,5251.4,4,4,"2020Q1","2020Q4",,,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
829,"efmoroctocog alfa","factor viii","Factor VIII inhibition",5250.94,5250.94,3,2,"2018Q1","2018Q2",,,"Blood coagulation factors","","",""
830,"dinoprostone","dinoprostone","Peripartum haemorrhage",5230.15,5230.15,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Prostaglandins","","",""
831,"tamoxifen","tamoxifen","Cardiac stress test abnormal",5229.4,5229.4,4,4,"2021Q3","2022Q2",,,"Anti-estrogens","","",""
832,"labetalol","labetalol","Nipple pain",5216.98,5216.98,4,4,"2020Q2","2021Q1",,,"Alpha and beta blocking agents","","",""
833,"depo-provera","medroxyprogesterone","Meningioma",5215.45,5215.45,4,21,"2012Q1","2024Q4",,,"Progestogens","","",""
834,"kuvan","sapropterin","Amino acid level increased",5212.91,5212.91,4,12,"2019Q4","2022Q3",,,"Various alimentary tract and metabolism products","","",""
835,"xiaflex","collagenase clostridium histolyticum","Corpora cavernosa surgery",5211.24,5211.24,3,18,"2017Q3","2024Q4",,,"Enzymes","","",""
836,"meningococcal b recom vaccine aloh omv",,"Dysentery",5203.42,5203.42,4,5,"2021Q1","2022Q1",,,"Other antineoplastic agents (cont.)","","",""
837,"defitelio","defibrotide","Venoocclusive liver disease",5194.1,5194.1,4,29,"2015Q1","2024Q4",,,"Other antithrombotic agents","","",""
838,"finerenone","finerenone","Urine albumin/creatinine ratio decreased",5219.77,5193.63,3,1,"2024Q4","2024Q4","2021-07-09",4.8,"Aldosterone antagonists","","",""
839,"finerenone","finerenone","Urine albumin/creatinine ratio increased",5219.77,5193.63,3,1,"2024Q4","2024Q4","2021-07-09",4.8,"Aldosterone antagonists","","",""
840,"adoport","tacrolimus","Delayed graft function",5193.27,5193.27,4,4,"2019Q4","2020Q3","1994-04-08",32,"Agents for dermatitis, excluding corticosteroids","","",""
841,"propess","dinoprostone","Premature separation of placenta",5189.26,5189.26,4,3,"2021Q2","2021Q4","1982-01-01",44.3,"Prostaglandins","","",""
842,"truvada","emtricitabine;tenofovir","Bone density decreased",5183.21,5183.21,4,78,"2003Q1","2024Q4",,,"","","",""
843,"trexan","naltrexone","Enterococcal sepsis",5182.51,5182.51,4,4,"2020Q3","2021Q2","2006-04-13",20,"Drugs used in alcohol dependence","","",""
844,"inc424a","ruxolitinib, trial","Pneumatosis intestinalis",5182.11,5182.11,4,3,"2017Q3","2018Q1",,,"","","",""
845,"femring","estradiol","Menopausal symptoms",5179.96,5179.96,4,2,"2021Q4","2024Q4","1982-01-01",44.3,"Natural and semisynthetic estrogens, plain","","",""
846,"viagra","sildenafil","Ejaculation disorder",5176.89,5176.89,4,7,"2018Q2","2020Q2",,,"Drugs used in erectile dysfunction","","",""
847,"alinia","nitazoxanide","Scleral discolouration",5171.1,5171.1,3,4,"2018Q1","2018Q4","2002-11-22",23.4,"Combinations of antibacterials","","",""
848,"estradiol system",,"Application site reaction",5168.17,5168.17,4,9,"2017Q4","2020Q3",,,"Other antineoplastic agents (cont.)","","",""
849,"satralizumab","satralizumab","Neuromyelitis optica spectrum disorder",5165.02,5165.02,4,4,"2021Q1","2021Q4",,,"Interleukin inhibitors","","",""
850,"diclobene - filmtabletten",,"Type I hypersensitivity",5161.84,5161.84,3,2,"2019Q4","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
851,"abacavir sulfate lamivudine",,"Viral mutation identified",5158.3,5158.3,4,9,"2019Q4","2022Q3",,,"Other antineoplastic agents (cont.)","","",""
852,"valsartan and hydrochlorothiazide tablets usp",,"Recalled product administered",5156.81,5156.81,4,5,"2017Q2","2018Q2",,,"Other antineoplastic agents (cont.)","","",""
853,"leuplin","leuprorelin","Bulbospinal muscular atrophy congenital",5156.27,5156.27,3,2,"2018Q4","2019Q1",,,"Gonadotropin releasing hormone analogues","","",""
854,"heparin","heparin","Cardiac procedure complication",5145.41,5145.41,3,6,"2018Q4","2020Q3",,,"Heparin group","","",""
855,"entecavir","entecavir","Chronic hepatic failure",5144.34,5144.34,3,4,"2021Q3","2022Q2","2005-03-29",21.1,"Nucleoside and nucleotide reverse transcriptase inhibitors","","",""
856,"nexavar","sorafenib","Hepatocellular carcinoma",5142.83,5142.83,4,40,"2011Q2","2022Q3",,,"Other protein kinase inhibitors","","",""
857,"heparin dextrose 50un-ml bag ml",,"Heparin-induced thrombocytopenia",5136.85,5136.85,4,3,"2019Q4","2020Q2",,,"Other antineoplastic agents (cont.)","","",""
858,"lumizyme","alglucosidase alfa","Drug specific antibody absent",5130.23,5130.23,4,7,"2020Q2","2021Q4",,,"Enzymes","","",""
859,"aspirin","acetylsalicylic acid","Gestational hypertension",5130.04,5130.04,3,1,"2024Q4","2024Q4","1982-01-01",44.3,"Other agents for local oral treatment","","",""
860,"ms contin","morphine","Pupillary reflex impaired",5129.57,5129.57,3,1,"2022Q2","2022Q2",,,"Natural opium alkaloids","","",""
861,"ct p6",,"HER2 positive gastric cancer",5126.1,5126.1,4,2,"2019Q4","2020Q1",,,"Other antineoplastic agents (cont.)","","",""
862,"piroxicam","piroxicam","Alveolitis",5119.51,5119.51,4,2,"2019Q4","2020Q1","1982-04-06",44,"Oxicams","","",""
863,"plan b one-step","levonorgestrel","Pregnancy after post coital contraception",5116.6,5116.6,4,38,"2013Q1","2024Q4","1990-12-10",35.4,"Progestogens","","",""
864,"somavert","pegvisomant","Insulin-like growth factor abnormal",5115.75,5115.75,3,14,"2019Q1","2024Q4",,,"ther anterior pituitary lobe hormones and analogues","","",""
865,"sevoflurane","sevoflurane","Growth retardation",5113.13,5113.13,4,4,"2017Q4","2018Q3","1995-06-07",30.9,"Halogenated hydrocarbons","","",""
866,"opana","oxymorphone","Drug diversion",5096.12,5096.12,4,3,"2016Q4","2017Q2",,,"Natural opium alkaloids","","",""
867,"lamivudine and zidovudine","lamivudine;zidovudine","Virologic failure",5086.27,5086.27,4,10,"2009Q2","2022Q3",,,"","","",""
